Concept,RADx Global Prompt,Variable,Responses,Old Values
Medical History,Asthma,nih_asthma,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Cancer,nih_cancer,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Cancer (including leukemia or lymphoma) undergoing active treatment?,nih_cancer_active_treatment,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Cancer diagnosis and/or treatment within the past 12 months,nih_cancer_past_yr,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Cardiovascular disease,nih_cardiovascular_disease,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Chronic kidney disease,nih_chronic_kidney_disease,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Chronic kidney disease treatment,nih_chronic_kidney_disease_treatment,"0,No;1,Yes, But Not On Dialysis;2,Yes And On Dialysis;3,Yes, I've Had A Kidney Transplant And My Kidney Function Is Now Normal;77,Don't Know;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes, But Not On Dialysis;2,Yes And On Dialysis;3,Yes, I've Had A Kidney Transplant And My Kidney Function Is Now Normal;77,Don't Know"
Medical History,Chronic lung disease,nih_chronic_lung_disease,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Diabetes,nih_diabetes,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Hypertension,nih_hypertension,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Immunosuppressive condition,nih_immunosuppressive_condition,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Serious mental illness,nih_serious_mental_illness,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Mental health disorder ,nih_mental_health_disorder,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Sickle cell disease,nih_sickle_cell_disease,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Pregnancy status,nih_pregnancy,"0, Not Pregnant;1, Pregnant;98, Don't know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0, Not Pregnant;1, Pregnant;98, Don't know;99, Prefer not to answer"
Medical History,Immunocompromised condition,nih_immunocompromised,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Autoimmune disease,nih_autoimm,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Chronic obstructive pulmonary disease (COPD),nih_copd,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Other chronic lung disease,nih_chronic_lung,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Depression,nih_depression,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Alcohol or substance use disorder,nih_alc_sub_abuse,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Intravenous drug use,nih_iv_drug_use,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Other mental health disorder,nih_othermh,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Other chronic condition,nih_other_chronic_cond,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Coronary artery disease,nih_coronary_artery_disease,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Coronary artery disease (blockages in your heart vessels) or angina (chest pain)?,nih_coronary_artery_disease_angina,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,A heart attack (myocardial infarction)?,nih_heart_attack,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,"Congestive Heart failure (CHF, Heart Failure)?",nih_chf,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Stroke or TIA (Transient Ischemic Attack or Mini-Stroke)?,nih_stroke,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
